Unnamed: 0,_STATE,NAME,population,total_pop,total_asthma_burden,PR,at_risk,num,IR,year
48,53,Washington,1588481,1595983.1585959797,106330.91704158192,0.0666240846395418,1489652.241554398,6981.432806298124,0.0046866192065157,2012
49,54,West Virginia,384390,382382.35816773714,29673.293287419365,0.0776011043752253,352709.0648803178,,,2012
50,55,Wisconsin,1316735,1305043.0301051545,99902.4454296037,0.0765510738918348,1205140.5846755505,,,2012
51,56,Wyoming,136386,136578.22649398496,11696.77082373985,0.0856415486128382,124881.45567024512,,,2012
0,0,United States,73567812,,,0.0924115188032248,,,0.0083696488566034,2013
1,1,Alabama,1109894,,,,,,,2013
2,2,Alaska,188349,,,,,,,2013
3,4,Arizona,1618034,1611174.2581162138,174146.49530426963,0.1080866916952123,1437027.762811944,,,2013
4,5,Arkansas,708960,,,,,,,2013
5,6,California,9157311,8089120.665146124,716160.6513343825,0.0885338074409161,7372960.013811741,37968.91646622073,0.0051497521205992,2013
6,8,Colorado,1240403,,,,,,,2013
7,9,Connecticut,782470,756737.7316912733,74081.98133593507,0.0978965079095042,682655.7503553382,2584.233496471536,0.0037855588195461,2013
8,10,Delaware,203354,,,,,,,2013
9,11,District of Columbia,111942,111128.90533936703,15009.49997285099,0.1350638695397454,96119.40536651605,,,2013
10,12,Florida,4021961,,,,,,,2013
11,13,Georgia,2482911,2427312.280553535,259917.31681533848,0.1070802957236576,2167394.9637381965,11895.146000919884,0.0054882225897599,2013
12,15,Hawaii,308747,297873.102998756,38037.09533324405,0.1276956359950461,259836.00766551195,2522.361331928256,0.0097075126522699,2013
13,16,Idaho,428752,,,,,,,2013
14,17,Illinois,3024649,,,,,,,2013
15,18,Indiana,1586023,1535223.8664551373,122271.9298788779,0.0796443649363048,1412951.936576259,18365.89867167324,0.0129982472837511,2013
16,19,Iowa,726370,,,,,,,2013
17,20,Kansas,724239,703649.610319474,65164.2143524525,0.0926088970942034,638485.3959670215,,,2013
18,21,Kentucky,1017072,,,,,13373.252072273805,,2013
19,22,Louisiana,1112430,1074647.2009031032,83929.17600930364,0.078099283131033,990718.0248937996,,,2013
20,23,Maine,262010,,,,,,,2013
21,24,Maryland,1344085,1308325.9075719218,140444.49122303943,0.1073467172133628,1167881.4163488825,25705.13625282668,0.0220100567514705,2013
22,25,Massachusetts,1398069,,,,,,,2013
23,26,Michigan,2249312,2182759.9565817355,238421.8539161798,0.1092295344695415,1944338.102665556,20401.57628097193,0.0104928130827672,2013
24,27,Minnesota,1278697,,,,,,,2013
25,28,Mississippi,735534,724241.8749349819,84611.4650620875,0.1168276345104781,639630.4098728944,5351.470301764983,0.0083665038734296,2013
26,29,Missouri,1397640,1366698.6626549626,104697.59794793096,0.0766062050170915,1262001.0647070317,,,2013
27,30,Montana,224371,217578.1872256978,17839.969160773046,0.0819933716161874,199738.2180649248,4661.732712767047,0.0233392124848723,2013
28,31,Nebraska,464550,459104.21633021,30094.4469114058,0.0655503605520373,429009.7694188042,3735.998837748729,0.0087084236865049,2013
29,32,Nevada,656208,636611.7003330336,49984.23000311325,0.0785160404324406,586627.4703299203,,,2013
30,33,New Hampshire,271784,263836.48980404664,27690.029160304905,0.1049514765030057,236146.4606437417,,,2013
31,34,New Jersey,2011350,1944591.5102801751,167896.5412552016,0.0863402623983538,1776694.9690249737,25880.3240906693,0.0145665544968994,2013
32,35,New Mexico,509220,503864.9363973877,41325.56884989592,0.082017155520628,462539.3675474918,5355.350970933414,0.0115781517135047,2013
33,36,New York,4236806,,,,,,,2013
34,37,North Carolina,2280607,,,,,,,2013
35,38,North Dakota,163430,,,,,,,2013
36,39,Ohio,2653839,,,,,20471.42309411189,,2013
37,40,Oklahoma,949081,931270.8905765378,102522.18698046658,0.1100884694430816,828748.7035960712,,,2013
38,41,Oregon,857785,821525.0965857402,68497.30465619227,0.0833782253772492,753027.7919295479,,,2013
39,42,Pennsylvania,2718058,2650167.1997152297,269422.813691297,0.1016625719766841,2380744.3860239326,34952.44142691614,0.0146813079270933,2013
40,44,Rhode Island,214806,210629.63909071943,24709.506217413087,0.1173125791986499,185920.13287330637,,,2013
41,45,South Carolina,1077287,,,,,,,2013
42,46,South Dakota,207812,,,,,,,2013
43,47,Tennessee,1492094,1321053.8553638903,111221.87238205654,0.0841917775951836,1209831.982981834,,,2013
44,48,Texas,7053072,6835840.350674342,617010.9934663274,0.0902611766533518,6218829.357208015,32016.335486998832,0.005148289758086,2013
45,49,Utah,897462,869068.979203544,53217.26476920963,0.0612347995874624,815851.7144343343,6638.223948804899,0.0081365569641628,2013
46,50,Vermont,123059,119397.83739394842,13171.46392023514,0.1103157662460536,106226.37347371328,,,2013
47,51,Virginia,1863741,,,,,,,2013
48,53,Washington,1593352,1579067.4361899602,108047.6568967834,0.0684249794660355,1471019.7792931767,8049.906853852949,0.0054723308055863,2013
49,54,West Virginia,382333,371246.3390275477,32084.679511942617,0.0864242314038329,339161.65951560513,,,2013
50,55,Wisconsin,1308815,1275538.0334171404,98594.09851098196,0.0772960867712038,1176943.9349061584,,,2013
51,56,Wyoming,137672,,,,,,,2013
0,0,United States,73563094,,,0.0917409813186351,,,0.0097471507400552,2014
1,1,Alabama,1105738,1077816.5775210008,141509.47064912444,0.1312927204873755,936307.1068718764,,,2014
2,2,Alaska,186818,,,,,,,2014
3,4,Arizona,1623721,,,,,,,2014
4,5,Arkansas,707060,,,,,,,2014
5,6,California,9134055,8937704.28170546,787981.9056081568,0.0881637924876383,8149722.376097303,,,2014
6,8,Colorado,1247350,,,,,,,2014
7,9,Connecticut,772709,752764.0108824286,71898.14642226066,0.0955121995510624,680865.8644601679,4463.661211517427,0.0065558598903419,2014
8,10,Delaware,203451,,,,,,,2014
9,11,District of Columbia,115718,114662.17093206618,16526.06881075143,0.1441283439552406,98136.10212131476,,,2014
10,12,Florida,4053002,,,,,,,2014
11,13,Georgia,2488037,2421870.94786504,245727.90039260057,0.1014620125028618,2176143.047472439,11895.146000919884,0.0054661599634895,2014
12,15,Hawaii,307906,295085.9475508139,47227.09014896067,0.160045202223085,247858.8574018532,,,2014
13,16,Idaho,431002,,,,,,,2014
14,17,Illinois,2992292,2961583.633076024,246621.57497212017,0.0832735473743717,2714962.058103903,,,2014
15,18,Indiana,1582047,1533003.6483160555,121888.61231167831,0.0795096687770888,1411115.0360043773,18365.89867167324,0.0130151675824225,2014
16,19,Iowa,728706,,,,,,,2014
17,20,Kansas,722345,694567.819052708,58168.34804292207,0.0837475426406242,636399.4710097859,7734.731058376004,0.0121538929724488,2014
18,21,Kentucky,1014601,968421.9893670784,104503.27453846468,0.1079108856323717,863918.7148286137,13373.252072273805,0.0154797573460679,2014
19,22,Louisiana,1113755,1091998.38153518,87442.62729430226,0.0800757847015959,1004555.7542408776,,,2014
20,23,Maine,259644,,,,,,,2014
21,24,Maryland,1346664,1312605.1493160457,126398.01464769011,0.0962955346575867,1186207.134668355,25705.13625282668,0.0216700233050051,2014
22,25,Massachusetts,1392767,,,,,,,2014
23,26,Michigan,2230079,2154977.6241206727,219920.995171686,0.102052565516277,1935056.6289489868,22945.0950152295,0.0118575832210615,2014
24,27,Minnesota,1282686,,,,,5560.96570140461,,2014
25,28,Mississippi,731415,715902.7604338016,83218.85874698688,0.1162432432814763,632683.9016868147,8831.031914318924,0.0139580474400791,2014
26,29,Missouri,1393137,1356817.423526505,152006.57759701565,0.1120317110919281,1204810.8459294897,,,2014
27,30,Montana,225473,216550.5011617688,15405.768392285763,0.071141688934616,201144.73276948303,4661.732712767047,0.0231760118626099,2014
28,31,Nebraska,467363,457622.57687222713,28081.852918194763,0.0613646579898428,429540.7239540324,4104.003119797571,0.0095543982000569,2014
29,32,Nevada,660063,643373.14840193,43441.53753177487,0.0675215271878831,599931.6108701552,,,2014
30,33,New Hampshire,267778,258934.3287062342,24844.193114305817,0.0959478537992234,234090.1355919284,,,2014
31,34,New Jersey,1998388,1919519.2581054235,180175.70630505664,0.0938650162243702,1739343.5518003667,18977.818583821736,0.0109109086380192,2014
32,35,New Mexico,503746,491795.805052928,32636.09337829747,0.0663610649846537,459159.7116746305,,,2014
33,36,New York,4206549,,,,,,,2014
34,37,North Carolina,2283411,2189140.131736576,250591.2075777049,0.1144701538036849,1938548.9241588712,,,2014
35,38,North Dakota,168595,,,,,,,2014
36,39,Ohio,2642588,,,,,27348.068242285342,,2014
37,40,Oklahoma,954786,934393.2689083468,109203.42593916177,0.1168709467125595,825189.8429691851,,,2014
38,41,Oregon,859997,831309.236973884,59692.02681244749,0.071804840073397,771617.2101614366,,,2014
39,42,Pennsylvania,2703263,2606262.8078733403,281300.7174413984,0.1079325985820034,2324962.090431942,30603.31346181657,0.0131629300915314,2014
40,44,Rhode Island,212397,205432.92406537724,22875.302370580423,0.1113516855910621,182557.6216947968,,,2014
41,45,South Carolina,1083012,,,,,,,2014
42,46,South Dakota,209754,,,,,,,2014
43,47,Tennessee,1495011,1437264.7925905038,139189.6727149268,0.0968434441812586,1298075.119875577,,,2014
44,48,Texas,7141311,6823779.472237994,479711.9956527806,0.0703000437813752,6344067.476585213,37451.02551923616,0.0059033144993272,2014
45,49,Utah,903815,878206.6309854422,59110.70768051693,0.0673084278744153,819095.9233049252,6143.179765791582,0.007499951581989,2014
46,50,Vermont,121497,118468.01418565284,9595.272738421045,0.0809946279962468,108872.7414472318,,,2014
47,51,Virginia,1864678,,,,,,,2014
48,53,Washington,1601779,1569003.3456401064,102072.35930037493,0.0650555396099123,1466930.9863397314,7442.7602650540175,0.0050736949006886,2014
49,54,West Virginia,380695,369703.9847917879,34638.146746964136,0.0936915699366125,335065.8380448238,,,2014
50,55,Wisconsin,1302072,1253639.6263887312,127154.80319216369,0.1014285130396279,1126484.8231965676,,,2014
51,56,Wyoming,138368,,,,,,,2014
0,0,United States,73616993,,,0.0841015505862584,,,0.0081705606205512,2015
1,1,Alabama,1102566,,,,,,,2015
2,2,Alaska,186143,,,,,,,2015
3,4,Arizona,1628631,,,,,,,2015
4,5,Arkansas,706417,,,,,,,2015
5,6,California,9116481,7362473.344867646,525249.8625238135,0.0713414959783811,6837223.482343832,,,2015
6,8,Colorado,1257335,,,,,,,2015
7,9,Connecticut,761796,734669.0346484467,85734.57534473317,0.1166982291362787,648934.4593037135,8528.067720064613,0.0131416471999575,2015
8,10,Delaware,203772,,,,,,,2015
9,11,District of Columbia,119066,119681.23662975663,9999.83450582125,0.083553903581031,109681.4021239354,,,2015
10,12,Florida,4101870,,,,,28795.111334779704,,2015
11,13,Georgia,2497465,2451176.0201132195,271894.8177491541,0.1109242320902745,2179281.202364065,11895.146000919884,0.0054582887183242,2015
12,15,Hawaii,308172,303255.9571551887,30050.26734013733,0.0990920924424226,273205.6898150514,,,2015
13,16,Idaho,433551,,,,,,,2015
14,17,Illinois,2961798,2909224.532337273,215145.81415927547,0.0739529767358407,2694078.718177997,,,2015
15,18,Indiana,1578188,1536829.0577461682,115241.80717787088,0.07498674403442,1421587.2505682977,24860.16435121041,0.017487610655816,2015
16,19,Iowa,729839,,,,,,,2015
17,20,Kansas,720680,699250.553591996,61761.720622165856,0.0883255941735057,637488.8329698301,7734.731058376004,0.0121331239989611,2015
18,21,Kentucky,1012671,,,,,13373.252072273805,,2015
19,22,Louisiana,1114969,1078606.6901281576,94076.31548749872,0.0872202224856595,984530.374640659,,,2015
20,23,Maine,256340,,,,,1018.3098853689978,,2015
21,24,Maryland,1346113,,,,,25705.13625282668,,2015
22,25,Massachusetts,1385700,,,,,,,2015
23,26,Michigan,2209034,2132476.7926378185,164403.66848232952,0.0770951735793412,1968073.124155489,18002.10615357644,0.0091470717894698,2015
24,27,Minnesota,1285301,1245265.0870117275,78158.38066962009,0.0627644519105384,1167106.7063421074,7624.30899271222,0.006532658026281,2015
25,28,Mississippi,726340,696182.2961351566,61569.34082912013,0.0884385327965407,634612.9553060365,,,2015
26,29,Missouri,1389690,1336349.546089846,115513.40481062002,0.0864395136351951,1220836.141279226,,,2015
27,30,Montana,226514,217917.0086833388,13791.410054995662,0.0632874420327434,204125.5986283432,,,2015
28,31,Nebraska,470580,464704.0054520807,30703.988737821543,0.0660721413579201,434000.0167142592,2780.9668916701585,0.0064077575681318,2015
29,32,Nevada,667498,652402.1425306007,37684.74121068467,0.0577630555664784,614717.401319916,,,2015
30,33,New Hampshire,264783,256027.72382462467,18436.90582353872,0.072011364816756,237590.81800108595,,,2015
31,34,New Jersey,1984001,1899802.783965924,163047.90904107946,0.0858235972792447,1736754.874924844,17570.18167625373,0.0101166733025661,2015
32,35,New Mexico,499114,492459.00121705,44464.32550610275,0.0902904107676269,447994.6757109472,,,2015
33,36,New York,4181909,,,,,23453.172110811047,,2015
34,37,North Carolina,2287021,,,,,,,2015
35,38,North Dakota,174184,,,,,,,2015
36,39,Ohio,2630983,,,,,15034.281528584008,,2015
37,40,Oklahoma,961241,,,,,,,2015
38,41,Oregon,863265,821543.6499923945,75935.85016054784,0.0924306945361342,745607.7998318466,,,2015
39,42,Pennsylvania,2689649,2613487.1863769805,291230.3998201654,0.1114336436536701,2322256.7865568157,30603.31346181657,0.0131782641949737,2015
40,44,Rhode Island,210593,203579.98216554607,19919.114560057817,0.0978441708667608,183660.86760548825,,,2015
41,45,South Carolina,1091223,,,,,,,2015
