State,FCEV Sales,FCEV Market Share,BEV Sales,BEV Market Share,PHEV Sales,PHEV Market Share,year,State Name,state_code,EPA_Region,ev_sales,ev_market_share,total,nonev_sales,population,PR,at_risk,incidence_cases,AC,AC_5,AC_95,IR,SAF,SAF_5,SAF_95,nonev_market_share,year_fixed
Oklahoma,0,0.0,2402,0.0031,281,0.0004,2018,Oklahoma,40,6.0,2683,0.0034626548224857036,774839.0,772156.0,954563.0,0.0999196300840526,859183.4181480765,6973.042520725988,1044.3468841053068,477.9287031377222,1473.5362562330356,0.0081158951318637,0.1497691833946505,0.0685394792469963,0.2113189833352143,0.9965373451775142,8
Oregon,0,0.0,3600,0.0205,2376,0.0135,2018,Oregon,41,10.0,5976,0.03395454545454545,176000.0,170024.0,869075.0,0.0720398756246087,806466.9450915433,6545.201153677445,591.8014962657454,264.83260922731023,852.0786952231448,0.0081158951318637,0.0904176177890636,0.0404621039154026,0.1301837293028651,0.9660454545454545,8
Pennsylvania,0,0.0,3801,0.0057,2262,0.0034,2018,Pennsylvania,42,3.0,6063,0.00909209514083525,666843.0,660780.0,2650621.0,0.097169264975922,2393062.105700257,30210.82593305849,3468.8156416049437,1554.555175469509,4988.199809156784,0.012624338441153,0.1148202849300176,0.0514568909474408,0.1651129902972429,0.9909079048591648,8
Rhode Island,0,0.0,276,0.0056,343,0.007,2018,Rhode Island,44,1.0,619,0.012559347482043582,49286.0,48667.0,205982.0,0.0782829150587498,189857.1285903686,1540.860545676193,279.1236511207268,124.62881955174733,402.5598741218086,0.0081158951318637,0.1811478994020421,0.0808826080344961,0.2612565265892695,0.9874406525179564,8
South Carolina,0,0.0,689,0.0032,481,0.0022,2018,South Carolina,45,4.0,1170,0.005351335775737867,218637.0,217467.0,1107050.0,0.073469577852146,1025715.5038387816,8324.599464282292,568.5205041298113,252.06546440030385,825.2851965676138,0.0081158951318637,0.0682940370367508,0.0302795906856325,0.0991381267181202,0.9946486642242621,8
South Dakota,0,0.0,69,0.0018,66,0.0017,2018,South Dakota,46,8.0,135,0.0034772305790232846,38824.0,38689.0,216422.0,0.073469577852146,200521.5670220829,1627.412009628203,255.6437326842251,116.72867681828475,362.0638959326085,0.0081158951318637,0.1570860551426244,0.0717265671678018,0.2224783237376534,0.9965227694209767,8
Tennessee,0,0.0,1387,0.0051,607,0.0022,2018,Tennessee,47,4.0,1994,0.007226994309738683,275910.0,273916.0,1508346.0,0.0897638701724814,1372951.0254808182,11142.726543987048,1107.3224314325455,500.72746255829054,1579.0404646386116,0.0081158951318637,0.0993762547309473,0.0449376066604181,0.141710420551486,0.9927730056902613,8
Utah,0,0.0,1627,0.0114,668,0.0047,2018,Utah,49,8.0,2295,0.01608043721973094,142720.0,140425.0,929678.0,0.0547670328486801,878762.2944353047,5600.198877817949,1650.7695626779346,761.5662487598227,2312.6940472621814,0.0063728256358753,0.2947698106252143,0.135989143488518,0.4129664138219489,0.983919562780269,8
Vermont,0,0.0,355,0.0083,469,0.0109,2018,Vermont,50,1.0,824,0.019150320721390723,43028.0,42204.0,115394.0,0.0876633535225829,105278.17498361508,854.4266278410163,59.00719345723266,25.57282922540448,87.45638242661047,0.0081158951318637,0.0690605741142844,0.0299298130373376,0.1023568081528511,0.9808496792786093,8
Virginia,0,0.0,4502,0.0118,1873,0.0049,2018,Virginia,51,3.0,6375,0.01667778519012675,382245.0,375870.0,1866014.0,0.073469577852146,1728918.7391538057,14031.723178486298,888.5549540736718,389.9727091186701,1301.8747853724838,0.0081158951318637,0.0633247209035609,0.0277922179733836,0.0927808202037895,0.9833222148098733,8
